	Match	Coverage	Identity	E-val	Entry	Protein names	Gene	Length	ExpAA	First60	PredHel	Topology
lcl|NC_007205.1_prot_WP_006997142.1_761	WP_000603502	0.9723320158102767	0.3008130081300813	3.83239e-31	P37769	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) (2-deoxy-D-gluconate 3-dehydrogenase) (2-keto-3-deoxygluconate 5-dehydrogenase) (2-keto-3-deoxygluconate oxidoreductase) (KDG oxidoreductase) (20-ketosteroid reductase) (EC 1.1.1.-)	kduD	253	5.39	0.77	0	o
lcl|NC_007205.1_prot_WP_006997143.1_760	WP_000907792	1.0	0.4453551912568306	5.95685e-110	P10907	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 3.6.3.20)	ugpC	366	0.03	0.02	0	o
lcl|NC_007205.1_prot_WP_006997144.1_759	WP_000224659	0.95	0.28771929824561404	2.01059e-27	P77716	Inner membrane ABC transporter permease protein YcjP	ycjP	300	149.74	22.79	6	i21-43o92-114i127-149o164-185i205-227o268-290i
lcl|NC_007205.1_prot_WP_006997145.1_758	WP_000099289	0.8172413793103448	0.27848101265822783	6.27513e-19	P10905	sn-glycerol-3-phosphate transport system permease protein UgpA	ugpA	290	136.53	22.91	6	i12-34o69-91i104-123o154-176i197-219o258-280i
lcl|NC_007205.1_prot_WP_006997157.1_745	WP_000077805	0.1565217391304348	0.5555555555555556	0.761048	P11454	Enterobactin synthase component F (EC 2.7.7.-) (Enterochelin synthase F) (Serine-activating enzyme) (Seryl-AMP ligase)	entF	115	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997175.1_728	WP_001241357	0.9574468085106383	0.45185185185185184	1.5603e-35	P0AGK8	HTH-type transcriptional regulator IscR	iscR	141	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_006997183.1_720	WP_000944104	0.980544747081712	0.44047619047619047	7.16855e-67	P30139	Thiazole synthase (EC 2.8.1.10)	thiG	257	0.75	0.01	0	o
lcl|NC_007205.1_prot_WP_006997196.1_707	WP_000963837	0.9779411764705882	0.48120300751879697	4.43704e-41	P0A763	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk	136	0.1	0.01	0	o
lcl|NC_007205.1_prot_WP_006997197.1_706	WP_000133592	0.6412371134020619	0.3729903536977492	3.25763e-54	P37095	Peptidase B (EC 3.4.11.23) (Aminopeptidase B)	pepB	485	4.4	0.0	0	o
lcl|NC_007205.1_prot_WP_006997200.1_703	WP_000746151	0.14987714987714987	0.29508196721311475	1.39928e-07	P31554	LPS-assembly protein LptD (Organic solvent tolerance protein)	lptD	814	15.96	15.95	1	i5-24o
lcl|NC_007205.1_prot_WP_006997201.1_702	WP_000969372	0.26229508196721313	0.3	0.0107123	P0ADY1	Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (Rotamase D)	ppiD	305	1.79	1.78	0	o
lcl|NC_007205.1_prot_WP_006997205.1_698	WP_000103754	0.9113924050632911	0.5833333333333334	6.55399e-25	P0A6A8	Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)	acpP	79	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997210.1_693	WP_001196062	0.9671052631578947	0.32653061224489793	1.02833e-18	P0A7R1	50S ribosomal protein L9	rplI	152	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997211.1_692	WP_000918363	0.9639830508474576	0.38461538461538464	1.2861e-84	P0ACB0	Replicative DNA helicase (EC 3.6.4.12)	dnaB	472	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006997216.1_687	WP_000593273	0.8737864077669902	0.34444444444444444	1.16865e-51	P04425	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	gshB	309	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997219.1_684	WP_000439170	0.989821882951654	0.4910025706940874	4.35588e-131	P37631	Uncharacterized protein YhiN	yhiN	393	5.68	5.47	0	o
lcl|NC_007205.1_prot_WP_006997225.1_677	WP_000173288	0.908641975308642	0.25	1.92438e-23	P76524	Aminopeptidase YpdF (EC 3.4.11.-)	ypdF	405	2.14	1.75	0	o
lcl|NC_007205.1_prot_WP_006997244.1_658	WP_001295377	0.9444444444444444	0.5378151260504201	7.74187e-42	P0A6T9	Glycine cleavage system H protein	gcvH	126	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997251.1_645	WP_000454701	0.9411764705882353	0.2552083333333333	0.0006946	P76389	UPF0053 protein YegH	yegH	204	122.09	43.19	4	o6-28i41-63o137-159i166-188o
lcl|NC_007205.1_prot_WP_006997257.1_639	WP_000145975	0.9753694581280788	0.4090909090909091	9.69766e-43	P0C0R7	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (Cell division protein FtsJ) (rRNA (uridine-2'-O-)-methyltransferase)	rlmE	203	0.09	0.02	0	i
lcl|NC_007205.1_prot_WP_006997261.1_635	WP_000042353	0.3341584158415842	0.2814814814814815	0.00335278	P30125	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB	404	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006997268.1_627	WP_000897378	0.9694656488549618	0.3543307086614173	7.62665e-21	P0AG11	Protein UmuD (EC 3.4.21.-) [Cleaved into: Protein UmuD']	umuD	131	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_006997281.1_616	WP_001070439	0.9818181818181818	0.37962962962962965	4.82802e-20	P23895	Multidrug transporter EmrE (Efflux-multidrug resistance protein EmrE) (Ethidium resistance protein) (Methyl viologen resistance protein C)	emrE	110	85.59	44.2	4	i5-22o32-51i58-80o85-107i
lcl|NC_007205.1_prot_WP_006997287.1_610	WP_001291772	0.97677793904209	0.29271916790490343	1.8187e-88	P00961	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS	689	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997289.1_608	WP_000422045	0.8171641791044776	0.3059360730593607	2.16415e-22	P0AG14	Probable protease SohB (EC 3.4.21.-)	sohB	268	3.66	0.01	0	o
lcl|NC_007205.1_prot_WP_006997290.1_607	WP_001047336	0.9109792284866469	0.36482084690553745	5.57902e-67	P0AD57	Octaprenyl-diphosphate synthase (EC 2.5.1.90) (All-trans-octaprenyl-diphosphate synthase) (Octaprenyl pyrophosphate synthase) (OPP synthase)	ispB	337	0.06	0.0	0	o
lcl|NC_007205.1_prot_WP_006997291.1_606	WP_001282319	0.9182692307692307	0.4031413612565445	2.75661e-49	P0AFI7	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH	208	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997292.1_605	WP_001333535	0.9944444444444445	0.5782122905027933	1.42252e-141	P12008	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase) (EPSP phospholyase)	aroC	360	0.08	0.0	0	o
lcl|NC_007205.1_prot_WP_006997300.1_597	WP_000822274	0.937037037037037	0.383399209486166	3.2417e-61	P76422	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	thiD	270	0.49	0.38	0	o
lcl|NC_007205.1_prot_WP_006997306.1_591	WP_001295306	0.8666666666666667	0.41025641025641024	2.28338e-30	P0A912	Peptidoglycan-associated lipoprotein	pal	180	10.65	10.64	0	o
lcl|NC_007205.1_prot_WP_006997307.1_590	WP_001295307	0.9910313901345291	0.2873303167420814	4.38944e-48	P0A855	Protein TolB	tolB	446	11.08	11.08	0	o
lcl|NC_007205.1_prot_WP_006997308.1_589	WP_000517476	0.10037174721189591	0.37037037037037035	2.88975	P0A6S5	Cell division protein FtsB	ftsB	269	22.52	22.52	1	i5-27o
lcl|NC_007205.1_prot_WP_006997309.1_588	WP_001240712	0.9637681159420289	0.39097744360902253	5.521e-31	P0ABV2	Biopolymer transport protein ExbD	exbD	138	26.51	22.28	1	i21-43o
lcl|NC_007205.1_prot_WP_006997322.1_575	WP_000257278	0.9838709677419355	0.34972677595628415	1.1408e-39	P0A6N4	Elongation factor P (EF-P)	efp	186	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997329.1_568	WP_001300486	0.9019607843137255	0.5217391304347826	5.4942e-25	P07001	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)	pntA	102	65.18	42.96	3	o5-27i34-56o66-88i
lcl|NC_007205.1_prot_WP_006997330.1_567	WP_001300486	0.9861878453038674	0.3865546218487395	3.59821e-82	P07001	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)	pntA	362	12.53	0.01	0	o
lcl|NC_007205.1_prot_WP_006997331.1_566	WP_000866436	0.975609756097561	0.475	4.0043e-09	Q2EEQ2	50S ribosomal protein L36 2	ykgO	41	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006997332.1_565	WP_001265438	0.8801369863013698	0.245136186770428	2.82999e-07	P09147	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	galE	292	9.09	9.05	0	o
lcl|NC_007205.1_prot_WP_006997334.1_563	WP_000048190	0.968299711815562	0.5922619047619048	3.88365e-154	P0AC88	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	gmd	347	0.02	0.01	0	o
lcl|NC_007205.1_prot_WP_006997335.1_562	WP_001265438	0.9528301886792453	0.32673267326732675	1.28637e-40	P09147	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	galE	318	3.06	3.03	0	o
lcl|NC_007205.1_prot_WP_006997336.1_561	WP_001159094	0.07029478458049887	0.3870967741935484	1.35524	P17444	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)	betA	441	0.47	0.43	0	o
lcl|NC_007205.1_prot_WP_006997337.1_560	WP_001050960	0.7657657657657657	0.2784313725490196	1.08195e-19	P0AC78	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33) (UDP-GlcNAc:undecaprenyl-phosphate GlcNAc-1-phosphate transferase) (Undecaprenyl-phosphate GlcNAc-1-phosphate transferase)	wecA	333	213.74	36.8	11	o5-24i45-64o68-87i100-119o129-151i158-180o185-204i209-228o243-260i289-306o310-327i
lcl|NC_007205.1_prot_WP_006997339.1_558	WP_001130692	0.36363636363636365	0.22727272727272727	4.91526	P61320	Outer-membrane lipoprotein LolB	lolB	121	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997340.1_557	WP_000048190	0.6935483870967742	0.4883720930232558	2.86844e-08	P0AC88	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	gmd	62	0.03	0.03	0	i
lcl|NC_007205.1_prot_WP_006997342.1_556	WP_000794699	0.7333333333333333	0.22994652406417113	0.000885324	P77414	Putative colanic acid biosynthesis glycosyl transferase WcaA	wcaA	255	0.05	0.0	0	o
lcl|NC_007205.1_prot_WP_006997343.1_555	WP_000617698	0.22764227642276422	0.4107142857142857	9.07042e-08	P42599	Uncharacterized oxidoreductase YgjR (EC 1.-.-.-)	ygjR	246	0.04	0.03	0	o
lcl|NC_007205.1_prot_WP_006997348.1_550	WP_000520320	0.35278514588859416	0.2857142857142857	1.45671e-09	P37751	Putative glycosyltransferase WbbK	wbbK	377	36.49	0.01	0	o
lcl|NC_007205.1_prot_WP_006997352.1_546	WP_000461657	0.34296028880866425	0.2736842105263158	1.35819	P77757	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Polymyxin resistance protein PmrF) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	277	4.96	0.0	0	o
lcl|NC_007205.1_prot_WP_006997357.1_541	WP_000053415	0.10422535211267606	0.3783783783783784	2.16731	P0A6T3	Galactokinase (EC 2.7.1.6) (Galactose kinase)	galK	355	3.29	3.15	0	o
lcl|NC_007205.1_prot_WP_006997358.1_540	WP_001140187	0.8957055214723927	0.3287671232876712	3.89294e-27	P63228	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB	163	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_006997359.1_539	WP_000284050	0.9946808510638298	0.3155080213903743	4.48781e-26	P63224	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA	188	0.05	0.02	0	o
lcl|NC_007205.1_prot_WP_006997363.1_535	WP_000699460	0.9101449275362319	0.3089171974522293	1.72173e-36	P37759	dTDP-glucose 4,6-dehydratase 1 (EC 4.2.1.46)	rfbB	345	11.0	11.0	0	o
lcl|NC_007205.1_prot_WP_006997365.1_533	WP_000869178	0.599601593625498	0.18272425249169436	6.04494e-07	P76658	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE	502	0.07	0.01	0	o
lcl|NC_007205.1_prot_WP_006997367.1_531	WP_000087280	0.870722433460076	0.31877729257641924	6.22264e-25	P33570	Transketolase 2 (TK 2) (EC 2.2.1.1)	tktB	263	12.61	6.24	0	o
lcl|NC_007205.1_prot_WP_006997368.1_530	WP_000006797	0.8705501618122977	0.26765799256505574	2.49575e-25	P77488	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs	309	1.65	0.4	0	o
lcl|NC_007205.1_prot_WP_006997373.1_525	WP_001008535	0.9498069498069498	0.3089430894308943	6.26311e-33	P0AEK2	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG	259	5.22	4.17	0	o
lcl|NC_007205.1_prot_WP_006997375.1_523	WP_000842106	0.9595375722543352	0.3102409638554217	1.23137e-29	P25437	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-)	frmA	346	4.63	0.01	0	o
lcl|NC_007205.1_prot_WP_006997376.1_522	WP_000016007	0.5844748858447488	0.2734375	1.37591e-05	P30866	Uncharacterized protein YafE	yafE	219	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006997378.1_520	WP_001023610	0.25435540069686413	0.3424657534246575	3.67923e-07	P37760	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)	rfbD	287	0.34	0.34	0	o
lcl|NC_007205.1_prot_WP_006997379.1_519	WP_001265438	0.5105633802816901	0.31724137931034485	1.15002e-11	P09147	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	galE	284	7.14	0.18	0	o
lcl|NC_007205.1_prot_WP_006997387.1_511	WP_001264707	0.9776674937965261	0.33248730964467005	3.84998e-39	P00561	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	thrA	403	1.38	0.03	0	o
lcl|NC_007205.1_prot_WP_006997394.1_504	WP_001195025	0.9802955665024631	0.34673366834170855	2.58427e-36	P0A7H6	Recombination protein RecR	recR	203	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997395.1_503	WP_000467098	0.9428571428571428	0.3333333333333333	1.44083e-18	P0A8B5	Nucleoid-associated protein YbaB	ybaB	105	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997410.1_488	WP_000125016	0.9585253456221198	0.28846153846153844	1.74431e-22	P0A6I0	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase) (Protein MssA) (p25)	cmk	217	0.05	0.05	0	o
lcl|NC_007205.1_prot_WP_006997411.1_487	WP_000140327	0.9340277777777778	0.33271375464684017	1.63578e-87	P0AG67	30S ribosomal protein S1 (Bacteriophage Q beta RNA-directed RNA polymerase subunit I)	rpsA	576	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997412.1_486	WP_001229265	0.9791666666666666	0.2872340425531915	2.20751e-11	P0A6X7	Integration host factor subunit alpha (IHF-alpha)	ihfA	96	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997414.1_484	WP_000102780	0.20574162679425836	0.3488372093023256	3.70359	Q46787	Uncharacterized protein YgeG	ygeG	209	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997415.1_483	WP_000209520	0.9390243902439024	0.4077922077922078	8.53695e-90	P0A879	Tryptophan synthase beta chain (EC 4.2.1.20)	trpB	410	0.07	0.0	0	o
lcl|NC_007205.1_prot_WP_006997426.1_472	WP_001062678	0.9857142857142858	0.5507246376811594	2.20103e-22	P0A9Y6	Cold shock-like protein CspC (CSP-C)	cspC	70	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006997427.1_471	WP_001040187	1.0	0.6338028169014085	1.40347e-30	P69222	Translation initiation factor IF-1	infA	71	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997435.1_464	WP_000831330	0.8333333333333334	0.6222222222222222	8.78199e-10	P0A7P5	50S ribosomal protein L34	rpmH	54	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006997437.1_462	WP_001307474	0.8554216867469879	0.4788732394366197	1.16528e-17	P0A8C8	Putative membrane protein insertion efficiency factor	yidD	83	1.42	1.42	0	o
lcl|NC_007205.1_prot_WP_006997441.1_458	WP_001186650	0.9963636363636363	0.6131386861313869	9.26405e-111	P0A9D8	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD	275	0.13	0.0	0	o
lcl|NC_007205.1_prot_WP_006997453.1_446	WP_000420621	0.17714285714285713	0.2903225806451613	0.33817	P36659	Curved DNA-binding protein	cbpA	175	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006997460.1_438	WP_000018596	0.9549295774647887	0.4778761061946903	3.70639e-117	P08312	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS	355	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997461.1_437	WP_000124850	0.9915254237288136	0.5982905982905983	5.43603e-36	P0A7L3	50S ribosomal protein L20	rplT	118	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006997462.1_436	WP_001124225	0.9558823529411765	0.36923076923076925	7.62773e-07	P0A7Q1	50S ribosomal protein L35 (Ribosomal protein A)	rpmI	68	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997463.1_435	WP_001700733	0.8950276243093923	0.4691358024691358	4.39795e-48	P0A707	Translation initiation factor IF-3 [Cleaved into: Translation initiation factor IF-3, N-terminally processed; Translation initiation factor IF-3S]	infC	181	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997482.1_420	WP_001196283	0.6759259259259259	0.3835616438356164	0.00802702	P52102	Uncharacterized ferredoxin-like protein YfhL	yfhL	108	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006997492.1_411	WP_001280776	0.7192982456140351	0.25203252032520324	1.59657e-08	P0AA25	Thioredoxin-1 (Trx-1)	trxA	171	0.16	0.16	0	o
lcl|NC_007205.1_prot_WP_006997502.1_402	WP_000187530	0.8409961685823755	0.36446469248291574	2.71455e-88	P0A6A0	Probable protein kinase UbiB (EC 2.7.-.-) (Ubiquinone biosynthesis protein UbiB)	ubiB	522	11.61	0.01	0	o
lcl|NC_007205.1_prot_WP_006997508.1_396	WP_001081870	0.12641083521444696	0.375	1.99637	P0AAJ8	Hydrogenase-2 operon protein HybA	hybA	443	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_006997513.1_391	WP_000506490	0.9731800766283525	0.44881889763779526	9.98934e-72	P0AEK4	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	fabI	261	0.04	0.01	0	o
lcl|NC_007205.1_prot_WP_006997516.1_387	WP_000059466	0.8414634146341463	0.5072463768115942	8.70037e-19	P0ADZ4	30S ribosomal protein S15	rpsO	82	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006997520.1_383	WP_001062128	0.987146529562982	0.5260416666666666	4.66063e-135	P0A817	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK	389	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006997525.1_378	WP_000131702	0.875	0.4369747899159664	1.82337e-29	P0A9A9	Ferric uptake regulation protein (Ferric uptake regulator)	fur	136	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997529.1_374	WP_000619389	0.35	0.36507936507936506	1.03179e-07	P63020	Fe/S biogenesis protein NfuA	nfuA	180	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_006997539.1_365	WP_000516135	0.9783616692426584	0.6793048973143759	0.0	P0A6Y8	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK	647	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997545.1_359	WP_001225679	0.29012345679012347	0.2553191489361702	1.04908	P0AA99	Putative L,D-transpeptidase YafK (EC 2.-.-.-)	yafK	162	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997546.1_358	WP_000997795	0.9953703703703703	0.3395348837209302	1.41896e-31	P67080	UPF0001 protein YggS	yggS	216	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_006997560.1_345	WP_001054527	0.995260663507109	0.680952380952381	0.0	P0AG30	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	rho	422	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997564.1_341	WP_000368046	0.9708029197080292	0.31203007518796994	2.97235e-30	P0A8A4	Phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)	ppsR	274	0.03	0.0	0	o
lcl|NC_007205.1_prot_WP_006997566.1_339	WP_000451243	0.9584905660377359	0.33858267716535434	2.49791e-36	P15770	Shikimate dehydrogenase (NADP(+)) (SD) (SDH) (EC 1.1.1.25)	aroE	265	3.29	0.0	0	o
lcl|NC_007205.1_prot_WP_006997569.1_336	WP_000263098	0.9142857142857143	0.2265625	1.39662	P0A8V2	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB	140	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997570.1_335	WP_001267448	0.8928571428571429	0.352	3.77877e-08	P37147	UPF0716 protein FxsA (Suppressor of F exclusion of phage T7)	fxsA	140	63.95	38.57	3	o4-21i26-48o78-100i
lcl|NC_007205.1_prot_WP_006997576.1_329	WP_001103560	1.0	0.3317307692307692	2.93205e-34	P60595	Imidazole glycerol phosphate synthase subunit HisH (EC 2.4.2.-) (IGP synthase glutamine amidotransferase subunit) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	hisH	208	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997577.1_328	WP_000586462	0.9707112970711297	0.33189655172413796	7.87471e-37	P10371	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	hisA	239	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997580.1_325	WP_000807125	0.9586776859504132	0.3706896551724138	5.73448e-20	P0ACE7	HIT-like protein HinT (EC 3.-.-.-) (Purine nucleoside phosphoramidase)	hinT	121	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997581.1_324	WP_001194734	0.16766467065868262	0.25	3.12222	P36680	Cell division protein ZapD (Z ring-associated protein D)	zapD	167	0.04	0.0	0	o
lcl|NC_007205.1_prot_WP_006997582.1_323	WP_001267253	0.07608695652173914	0.6428571428571429	3.63865	P75783	Moderate conductance mechanosensitive channel YbiO	ybiO	184	0.67	0.67	0	o
lcl|NC_007205.1_prot_WP_006997584.1_321	WP_000184541	0.8620689655172413	0.2523076923076923	1.29502e-17	P75728	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	ubiF	377	7.58	7.57	0	o
lcl|NC_007205.1_prot_WP_006997585.1_320	WP_001295325	0.41784037558685444	0.2696629213483146	1.12035e-06	P0A9M0	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon	213	2.95	2.95	0	o
lcl|NC_007205.1_prot_WP_006997586.1_319	WP_000254708	0.16666666666666666	0.5263157894736842	1.62796	P0A7A5	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	pcm	114	0.02	0.0	0	o
